LR: 0.1, DF: 0, DRT: 0.001
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
[Epoch 030/100]	Epsilon:0.3535	#Expl.:1549/4299	#Buy:1320	#Sell:1789	#Hold:1190	#Stocks:  0.000000	PV:   5169.69	POS:936	NEG:2300	Loss:  0.066226
[Epoch 031/100]	Epsilon:0.3485	#Expl.:1507/4299	#Buy:827	#Sell:2373	#Hold:1099	#Stocks:  0.000000	PV:   5973.44	POS:637	NEG:2887	Loss:  0.057948
[Epoch 032/100]	Epsilon:0.3434	#Expl.:1509/4299	#Buy:716	#Sell:2726	#Hold:857	#Stocks:  0.921270	PV:   6148.83	POS:445	NEG:3281	Loss:  0.051615
[Epoch 033/100]	Epsilon:0.3384	#Expl.:1418/4299	#Buy:892	#Sell:1712	#Hold:1695	#Stocks:  0.000001	PV:   5012.36	POS:988	NEG:2254	Loss:  0.064555
[Epoch 034/100]	Epsilon:0.3333	#Expl.:1467/4299	#Buy:508	#Sell:3112	#Hold:679	#Stocks:  0.000000	PV:   4447.62	POS:254	NEG:3617	Loss:  0.044573
[Epoch 035/100]	Epsilon:0.3283	#Expl.:1392/4299	#Buy:931	#Sell:2730	#Hold:638	#Stocks:  0.719699	PV:   4600.05	POS:461	NEG:3242	Loss:  0.051375
[Epoch 036/100]	Epsilon:0.3232	#Expl.:1386/4299	#Buy:1584	#Sell:1914	#Hold:801	#Stocks:  0.336487	PV:   4546.56	POS:932	NEG:2331	Loss:  0.062828
[Epoch 037/100]	Epsilon:0.3182	#Expl.:1420/4299	#Buy:1973	#Sell:1667	#Hold:659	#Stocks:  0.063467	PV:   2839.07	POS:1087	NEG:1979	Loss:  0.062661
[Epoch 038/100]	Epsilon:0.3131	#Expl.:1315/4299	#Buy:1340	#Sell:1949	#Hold:1010	#Stocks:  0.000000	PV:   3982.13	POS:911	NEG:2339	Loss:  0.051065
[Epoch 039/100]	Epsilon:0.3081	#Expl.:1313/4299	#Buy:626	#Sell:2819	#Hold:854	#Stocks:  0.003323	PV:   9013.49	POS:440	NEG:3322	Loss:  0.049384
[Epoch 040/100]	Epsilon:0.3030	#Expl.:1292/4299	#Buy:581	#Sell:2953	#Hold:765	#Stocks:  0.419029	PV:   4506.00	POS:331	NEG:3492	Loss:  0.042615
[Epoch 041/100]	Epsilon:0.2980	#Expl.:1312/4299	#Buy:2495	#Sell:1041	#Hold:763	#Stocks:  0.710323	PV:   4544.13	POS:1465	NEG:1279	Loss:  0.065334
