LR: 0.1, DF: 0, DRT: 0.2
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=10.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
findfont: Matching :family=sans-serif:style=normal:variant=normal:weight=normal:stretch=normal:size=12.0 to DejaVu Sans ('/usr/local/lib/python3.5/dist-packages/matplotlib/mpl-data/fonts/ttf/DejaVuSans.ttf') with score of 0.050000
[Epoch 031/300]	Epsilon:0.4498	#Expl.:438/1000	#Buy:711	#Sell:149	#Hold:140	#Stocks:  0.857767	PV:￦7,416	POS:6	NEG:10	Loss:  0.131615
[Epoch 032/300]	Epsilon:0.4482	#Expl.:425/1000	#Buy:717	#Sell:156	#Hold:127	#Stocks:  1.048133	PV:￦6,697	POS:6	NEG:10	Loss:  0.129805
[Epoch 033/300]	Epsilon:0.4465	#Expl.:475/1000	#Buy:689	#Sell:155	#Hold:156	#Stocks:  0.848440	PV:￦7,018	POS:6	NEG:10	Loss:  0.129522
[Epoch 034/300]	Epsilon:0.4448	#Expl.:431/1000	#Buy:721	#Sell:147	#Hold:132	#Stocks:  1.000814	PV:￦6,430	POS:5	NEG:11	Loss:  0.123974
[Epoch 035/300]	Epsilon:0.4431	#Expl.:441/1000	#Buy:711	#Sell:148	#Hold:141	#Stocks:  1.081948	PV:￦6,901	POS:6	NEG:10	Loss:  0.128156
[Epoch 036/300]	Epsilon:0.4415	#Expl.:434/1000	#Buy:279	#Sell:608	#Hold:113	#Stocks:  0.000696	PV:￦7,306	POS:4	NEG:12	Loss:  0.121611
[Epoch 037/300]	Epsilon:0.4398	#Expl.:444/1000	#Buy:683	#Sell:182	#Hold:135	#Stocks:  1.092821	PV:￦6,971	POS:5	NEG:11	Loss:  0.122928
[Epoch 038/300]	Epsilon:0.4381	#Expl.:440/1000	#Buy:708	#Sell:179	#Hold:113	#Stocks:  0.972874	PV:￦7,029	POS:6	NEG:10	Loss:  0.129371
[Epoch 039/300]	Epsilon:0.4365	#Expl.:431/1000	#Buy:715	#Sell:147	#Hold:138	#Stocks:  0.905069	PV:￦7,627	POS:8	NEG:8	Loss:  0.138961
[Epoch 040/300]	Epsilon:0.4348	#Expl.:411/1000	#Buy:731	#Sell:146	#Hold:123	#Stocks:  1.017727	PV:￦7,151	POS:6	NEG:10	Loss:  0.128168
[Epoch 041/300]	Epsilon:0.4331	#Expl.:428/1000	#Buy:390	#Sell:468	#Hold:142	#Stocks:  0.603660	PV:￦7,956	POS:6	NEG:10	Loss:  0.130792
[Epoch 042/300]	Epsilon:0.4314	#Expl.:409/1000	#Buy:151	#Sell:723	#Hold:126	#Stocks:  0.229352	PV:￦8,381	POS:2	NEG:14	Loss:  0.110657
[Epoch 043/300]	Epsilon:0.4298	#Expl.:440/1000	#Buy:170	#Sell:667	#Hold:163	#Stocks:  1.359534	PV:￦9,078	POS:4	NEG:12	Loss:  0.116761
[Epoch 044/300]	Epsilon:0.4281	#Expl.:430/1000	#Buy:732	#Sell:147	#Hold:121	#Stocks:  1.038654	PV:￦6,991	POS:6	NEG:10	Loss:  0.128305
[Epoch 045/300]	Epsilon:0.4264	#Expl.:408/1000	#Buy:618	#Sell:262	#Hold:120	#Stocks:  0.024921	PV:￦7,707	POS:6	NEG:10	Loss:  0.127757
[Epoch 046/300]	Epsilon:0.4247	#Expl.:418/1000	#Buy:323	#Sell:547	#Hold:130	#Stocks:  1.206041	PV:￦7,991	POS:4	NEG:12	Loss:  0.115870
[Epoch 047/300]	Epsilon:0.4231	#Expl.:405/1000	#Buy:736	#Sell:139	#Hold:125	#Stocks:  1.056810	PV:￦7,375	POS:4	NEG:12	Loss:  0.116075
[Epoch 048/300]	Epsilon:0.4214	#Expl.:426/1000	#Buy:451	#Sell:419	#Hold:130	#Stocks:  0.598573	PV:￦6,773	POS:5	NEG:11	Loss:  0.121402
[Epoch 049/300]	Epsilon:0.4197	#Expl.:407/1000	#Buy:315	#Sell:553	#Hold:132	#Stocks:  1.283994	PV:￦8,789	POS:3	NEG:13	Loss:  0.107756
[Epoch 050/300]	Epsilon:0.4181	#Expl.:419/1000	#Buy:600	#Sell:284	#Hold:116	#Stocks:  0.050331	PV:￦6,746	POS:5	NEG:11	Loss:  0.121951
[Epoch 051/300]	Epsilon:0.4164	#Expl.:390/1000	#Buy:470	#Sell:411	#Hold:119	#Stocks:  1.401608	PV:￦8,940	POS:4	NEG:12	Loss:  0.114078
[Epoch 052/300]	Epsilon:0.4147	#Expl.:421/1000	#Buy:713	#Sell:147	#Hold:140	#Stocks:  1.122983	PV:￦7,207	POS:6	NEG:10	Loss:  0.127076
[Epoch 053/300]	Epsilon:0.4130	#Expl.:401/1000	#Buy:394	#Sell:491	#Hold:115	#Stocks:  0.006028	PV:￦7,744	POS:6	NEG:10	Loss:  0.126840
[Epoch 054/300]	Epsilon:0.4114	#Expl.:397/1000	#Buy:526	#Sell:351	#Hold:123	#Stocks:  0.000002	PV:￦7,244	POS:4	NEG:12	Loss:  0.114993
[Epoch 055/300]	Epsilon:0.4097	#Expl.:417/1000	#Buy:680	#Sell:174	#Hold:146	#Stocks:  0.255915	PV:￦6,731	POS:5	NEG:11	Loss:  0.121003
[Epoch 056/300]	Epsilon:0.4080	#Expl.:423/1000	#Buy:660	#Sell:197	#Hold:143	#Stocks:  1.141146	PV:￦7,279	POS:4	NEG:12	Loss:  0.113668
[Epoch 057/300]	Epsilon:0.4064	#Expl.:432/1000	#Buy:534	#Sell:326	#Hold:140	#Stocks:  1.085138	PV:￦7,409	POS:7	NEG:9	Loss:  0.132240
[Epoch 058/300]	Epsilon:0.4047	#Expl.:386/1000	#Buy:763	#Sell:121	#Hold:116	#Stocks:  0.614631	PV:￦7,008	POS:5	NEG:11	Loss:  0.119454
[Epoch 059/300]	Epsilon:0.4030	#Expl.:412/1000	#Buy:738	#Sell:141	#Hold:121	#Stocks:  0.228968	PV:￦7,019	POS:6	NEG:10	Loss:  0.125637
[Epoch 060/300]	Epsilon:0.4013	#Expl.:401/1000	#Buy:562	#Sell:316	#Hold:122	#Stocks:  0.439136	PV:￦7,080	POS:5	NEG:11	Loss:  0.119642
[Epoch 061/300]	Epsilon:0.3997	#Expl.:416/1000	#Buy:150	#Sell:733	#Hold:117	#Stocks:  0.000002	PV:￦8,603	POS:6	NEG:10	Loss:  0.125815
[Epoch 062/300]	Epsilon:0.3980	#Expl.:412/1000	#Buy:628	#Sell:233	#Hold:139	#Stocks:  1.087015	PV:￦8,307	POS:6	NEG:10	Loss:  0.125392
[Epoch 063/300]	Epsilon:0.3963	#Expl.:384/1000	#Buy:467	#Sell:415	#Hold:118	#Stocks:  0.151554	PV:￦7,892	POS:7	NEG:9	Loss:  0.129213
[Epoch 064/300]	Epsilon:0.3946	#Expl.:395/1000	#Buy:639	#Sell:241	#Hold:120	#Stocks:  1.131104	PV:￦7,397	POS:5	NEG:11	Loss:  0.119112
[Epoch 065/300]	Epsilon:0.3930	#Expl.:411/1000	#Buy:743	#Sell:130	#Hold:127	#Stocks:  1.051264	PV:￦6,706	POS:5	NEG:11	Loss:  0.118576
[Epoch 066/300]	Epsilon:0.3913	#Expl.:399/1000	#Buy:726	#Sell:142	#Hold:132	#Stocks:  0.715214	PV:￦7,075	POS:6	NEG:10	Loss:  0.123065
[Epoch 067/300]	Epsilon:0.3896	#Expl.:392/1000	#Buy:744	#Sell:116	#Hold:140	#Stocks:  1.060706	PV:￦6,766	POS:6	NEG:10	Loss:  0.123488
[Epoch 068/300]	Epsilon:0.3880	#Expl.:374/1000	#Buy:763	#Sell:133	#Hold:104	#Stocks:  1.067661	PV:￦6,831	POS:6	NEG:10	Loss:  0.122300
[Epoch 069/300]	Epsilon:0.3863	#Expl.:375/1000	#Buy:758	#Sell:148	#Hold:94	#Stocks:  0.856614	PV:￦7,301	POS:6	NEG:10	Loss:  0.123417
[Epoch 070/300]	Epsilon:0.3846	#Expl.:379/1000	#Buy:703	#Sell:170	#Hold:127	#Stocks:  1.125190	PV:￦7,177	POS:6	NEG:10	Loss:  0.124277
[Epoch 071/300]	Epsilon:0.3829	#Expl.:391/1000	#Buy:674	#Sell:208	#Hold:118	#Stocks:  0.967469	PV:￦7,182	POS:6	NEG:10	Loss:  0.123895
[Epoch 072/300]	Epsilon:0.3813	#Expl.:401/1000	#Buy:407	#Sell:483	#Hold:110	#Stocks:  0.011431	PV:￦6,675	POS:4	NEG:12	Loss:  0.115745
[Epoch 073/300]	Epsilon:0.3796	#Expl.:375/1000	#Buy:491	#Sell:387	#Hold:122	#Stocks:  0.993017	PV:￦8,556	POS:4	NEG:12	Loss:  0.114991
[Epoch 074/300]	Epsilon:0.3779	#Expl.:389/1000	#Buy:666	#Sell:220	#Hold:114	#Stocks:  1.125356	PV:￦7,178	POS:5	NEG:11	Loss:  0.119278
[Epoch 075/300]	Epsilon:0.3763	#Expl.:372/1000	#Buy:757	#Sell:132	#Hold:111	#Stocks:  1.131205	PV:￦7,216	POS:5	NEG:11	Loss:  0.117958
[Epoch 076/300]	Epsilon:0.3746	#Expl.:380/1000	#Buy:397	#Sell:474	#Hold:129	#Stocks:  0.752135	PV:￦8,231	POS:6	NEG:10	Loss:  0.124320
[Epoch 077/300]	Epsilon:0.3729	#Expl.:402/1000	#Buy:529	#Sell:332	#Hold:139	#Stocks:  1.315889	PV:￦8,430	POS:3	NEG:13	Loss:  0.108512
[Epoch 078/300]	Epsilon:0.3712	#Expl.:380/1000	#Buy:749	#Sell:132	#Hold:119	#Stocks:  1.077070	PV:￦6,870	POS:6	NEG:10	Loss:  0.123374
[Epoch 079/300]	Epsilon:0.3696	#Expl.:357/1000	#Buy:682	#Sell:212	#Hold:106	#Stocks:  1.138237	PV:￦7,260	POS:6	NEG:10	Loss:  0.124026
[Epoch 080/300]	Epsilon:0.3679	#Expl.:356/1000	#Buy:586	#Sell:297	#Hold:117	#Stocks:  0.004327	PV:￦7,285	POS:5	NEG:11	Loss:  0.116900
[Epoch 081/300]	Epsilon:0.3662	#Expl.:361/1000	#Buy:217	#Sell:673	#Hold:110	#Stocks:  0.431348	PV:￦9,214	POS:5	NEG:11	Loss:  0.119692
[Epoch 082/300]	Epsilon:0.3645	#Expl.:366/1000	#Buy:167	#Sell:715	#Hold:118	#Stocks:  1.391722	PV:￦8,881	POS:3	NEG:13	Loss:  0.108046
[Epoch 083/300]	Epsilon:0.3629	#Expl.:348/1000	#Buy:233	#Sell:659	#Hold:108	#Stocks:  1.177945	PV:￦8,586	POS:5	NEG:11	Loss:  0.117216
[Epoch 084/300]	Epsilon:0.3612	#Expl.:347/1000	#Buy:501	#Sell:388	#Hold:111	#Stocks:  1.180564	PV:￦7,958	POS:4	NEG:12	Loss:  0.113261
[Epoch 085/300]	Epsilon:0.3595	#Expl.:363/1000	#Buy:729	#Sell:154	#Hold:117	#Stocks:  0.000009	PV:￦6,327	POS:5	NEG:11	Loss:  0.119091
[Epoch 086/300]	Epsilon:0.3579	#Expl.:334/1000	#Buy:704	#Sell:191	#Hold:105	#Stocks:  1.088719	PV:￦6,946	POS:5	NEG:11	Loss:  0.118566
[Epoch 087/300]	Epsilon:0.3562	#Expl.:345/1000	#Buy:539	#Sell:351	#Hold:110	#Stocks:  1.184911	PV:￦7,558	POS:6	NEG:10	Loss:  0.124297
[Epoch 088/300]	Epsilon:0.3545	#Expl.:370/1000	#Buy:519	#Sell:378	#Hold:103	#Stocks:  0.026095	PV:￦8,337	POS:5	NEG:11	Loss:  0.118108
[Epoch 089/300]	Epsilon:0.3528	#Expl.:337/1000	#Buy:574	#Sell:334	#Hold:92	#Stocks:  0.497480	PV:￦7,369	POS:6	NEG:10	Loss:  0.123542
[Epoch 090/300]	Epsilon:0.3512	#Expl.:343/1000	#Buy:610	#Sell:290	#Hold:100	#Stocks:  1.159529	PV:￦8,204	POS:4	NEG:12	Loss:  0.112267
[Epoch 091/300]	Epsilon:0.3495	#Expl.:314/1000	#Buy:738	#Sell:174	#Hold:88	#Stocks:  0.374997	PV:￦6,544	POS:4	NEG:12	Loss:  0.112323
[Epoch 092/300]	Epsilon:0.3478	#Expl.:359/1000	#Buy:678	#Sell:202	#Hold:120	#Stocks:  0.015209	PV:￦7,034	POS:4	NEG:12	Loss:  0.111376
[Epoch 093/300]	Epsilon:0.3462	#Expl.:333/1000	#Buy:547	#Sell:356	#Hold:97	#Stocks:  0.005819	PV:￦8,070	POS:5	NEG:11	Loss:  0.118059
[Epoch 094/300]	Epsilon:0.3445	#Expl.:351/1000	#Buy:379	#Sell:492	#Hold:129	#Stocks:  0.990912	PV:￦8,920	POS:5	NEG:11	Loss:  0.118434
[Epoch 095/300]	Epsilon:0.3428	#Expl.:335/1000	#Buy:570	#Sell:326	#Hold:104	#Stocks:  0.826002	PV:￦7,313	POS:5	NEG:11	Loss:  0.117478
[Epoch 096/300]	Epsilon:0.3411	#Expl.:362/1000	#Buy:727	#Sell:157	#Hold:116	#Stocks:  1.149642	PV:￦7,334	POS:7	NEG:9	Loss:  0.129398
[Epoch 097/300]	Epsilon:0.3395	#Expl.:356/1000	#Buy:771	#Sell:121	#Hold:108	#Stocks:  1.259956	PV:￦8,037	POS:7	NEG:9	Loss:  0.128307
[Epoch 098/300]	Epsilon:0.3378	#Expl.:332/1000	#Buy:760	#Sell:139	#Hold:101	#Stocks:  0.412222	PV:￦6,979	POS:7	NEG:9	Loss:  0.128128
[Epoch 099/300]	Epsilon:0.3361	#Expl.:321/1000	#Buy:391	#Sell:501	#Hold:108	#Stocks:  0.111192	PV:￦7,630	POS:6	NEG:10	Loss:  0.122971
[Epoch 100/300]	Epsilon:0.3344	#Expl.:311/1000	#Buy:270	#Sell:630	#Hold:100	#Stocks:  1.373115	PV:￦8,762	POS:4	NEG:12	Loss:  0.113452
[Epoch 101/300]	Epsilon:0.3328	#Expl.:337/1000	#Buy:756	#Sell:151	#Hold:93	#Stocks:  1.240521	PV:￦7,913	POS:5	NEG:11	Loss:  0.117477
[Epoch 102/300]	Epsilon:0.3311	#Expl.:356/1000	#Buy:727	#Sell:167	#Hold:106	#Stocks:  1.045059	PV:￦7,150	POS:5	NEG:11	Loss:  0.117541
[Epoch 103/300]	Epsilon:0.3294	#Expl.:304/1000	#Buy:359	#Sell:557	#Hold:84	#Stocks:  0.000001	PV:￦7,995	POS:4	NEG:12	Loss:  0.112728
[Epoch 104/300]	Epsilon:0.3278	#Expl.:344/1000	#Buy:270	#Sell:618	#Hold:112	#Stocks:  0.032899	PV:￦7,655	POS:4	NEG:12	Loss:  0.112301
[Epoch 105/300]	Epsilon:0.3261	#Expl.:337/1000	#Buy:217	#Sell:668	#Hold:115	#Stocks:  0.229390	PV:￦8,206	POS:5	NEG:11	Loss:  0.117760
[Epoch 106/300]	Epsilon:0.3244	#Expl.:331/1000	#Buy:590	#Sell:307	#Hold:103	#Stocks:  0.008826	PV:￦7,094	POS:5	NEG:11	Loss:  0.117644
[Epoch 107/300]	Epsilon:0.3227	#Expl.:310/1000	#Buy:767	#Sell:136	#Hold:97	#Stocks:  1.213961	PV:￦7,743	POS:7	NEG:9	Loss:  0.127995
[Epoch 108/300]	Epsilon:0.3211	#Expl.:303/1000	#Buy:702	#Sell:192	#Hold:106	#Stocks:  1.084071	PV:￦6,921	POS:6	NEG:10	Loss:  0.122625
[Epoch 109/300]	Epsilon:0.3194	#Expl.:323/1000	#Buy:787	#Sell:111	#Hold:102	#Stocks:  1.004881	PV:￦7,220	POS:7	NEG:9	Loss:  0.127992
[Epoch 110/300]	Epsilon:0.3177	#Expl.:282/1000	#Buy:789	#Sell:119	#Hold:92	#Stocks:  0.850597	PV:￦6,811	POS:6	NEG:10	Loss:  0.122303
[Epoch 111/300]	Epsilon:0.3161	#Expl.:305/1000	#Buy:586	#Sell:305	#Hold:109	#Stocks:  1.144198	PV:￦7,474	POS:4	NEG:12	Loss:  0.112882
[Epoch 112/300]	Epsilon:0.3144	#Expl.:326/1000	#Buy:633	#Sell:270	#Hold:97	#Stocks:  0.134376	PV:￦7,468	POS:7	NEG:9	Loss:  0.126556
[Epoch 113/300]	Epsilon:0.3127	#Expl.:315/1000	#Buy:669	#Sell:230	#Hold:101	#Stocks:  1.345041	PV:￦8,581	POS:5	NEG:11	Loss:  0.117796
[Epoch 114/300]	Epsilon:0.3110	#Expl.:303/1000	#Buy:610	#Sell:311	#Hold:79	#Stocks:  1.236658	PV:￦7,892	POS:5	NEG:11	Loss:  0.118515
[Epoch 115/300]	Epsilon:0.3094	#Expl.:300/1000	#Buy:577	#Sell:315	#Hold:108	#Stocks:  0.939359	PV:￦7,867	POS:6	NEG:10	Loss:  0.122547
[Epoch 116/300]	Epsilon:0.3077	#Expl.:294/1000	#Buy:561	#Sell:356	#Hold:83	#Stocks:  0.000000	PV:￦6,983	POS:4	NEG:12	Loss:  0.112837
[Epoch 117/300]	Epsilon:0.3060	#Expl.:290/1000	#Buy:727	#Sell:184	#Hold:89	#Stocks:  0.157783	PV:￦7,622	POS:5	NEG:11	Loss:  0.117390
[Epoch 118/300]	Epsilon:0.3043	#Expl.:298/1000	#Buy:687	#Sell:229	#Hold:84	#Stocks:  1.211626	PV:￦7,729	POS:6	NEG:10	Loss:  0.122956
[Epoch 119/300]	Epsilon:0.3027	#Expl.:302/1000	#Buy:472	#Sell:427	#Hold:101	#Stocks:  0.252551	PV:￦7,911	POS:4	NEG:12	Loss:  0.112761
[Epoch 120/300]	Epsilon:0.3010	#Expl.:306/1000	#Buy:129	#Sell:788	#Hold:83	#Stocks:  1.281001	PV:￦8,612	POS:2	NEG:14	Loss:  0.098576
[Epoch 121/300]	Epsilon:0.2993	#Expl.:318/1000	#Buy:793	#Sell:120	#Hold:87	#Stocks:  0.920927	PV:￦7,499	POS:6	NEG:10	Loss:  0.124357
[Epoch 122/300]	Epsilon:0.2977	#Expl.:281/1000	#Buy:785	#Sell:128	#Hold:87	#Stocks:  1.072209	PV:￦6,840	POS:6	NEG:10	Loss:  0.123589
[Epoch 123/300]	Epsilon:0.2960	#Expl.:285/1000	#Buy:662	#Sell:248	#Hold:90	#Stocks:  0.300533	PV:￦6,980	POS:6	NEG:10	Loss:  0.122968
[Epoch 124/300]	Epsilon:0.2943	#Expl.:300/1000	#Buy:133	#Sell:762	#Hold:105	#Stocks:  1.501524	PV:￦9,579	POS:5	NEG:11	Loss:  0.116876
[Epoch 125/300]	Epsilon:0.2926	#Expl.:318/1000	#Buy:384	#Sell:526	#Hold:90	#Stocks:  1.162577	PV:￦7,416	POS:3	NEG:13	Loss:  0.105776
[Epoch 126/300]	Epsilon:0.2910	#Expl.:283/1000	#Buy:719	#Sell:197	#Hold:84	#Stocks:  1.107206	PV:￦7,062	POS:6	NEG:10	Loss:  0.123094
[Epoch 127/300]	Epsilon:0.2893	#Expl.:296/1000	#Buy:531	#Sell:390	#Hold:79	#Stocks:  0.031096	PV:￦7,930	POS:3	NEG:13	Loss:  0.105913
[Epoch 128/300]	Epsilon:0.2876	#Expl.:266/1000	#Buy:447	#Sell:473	#Hold:80	#Stocks:  0.000000	PV:￦7,146	POS:2	NEG:14	Loss:  0.097571
[Epoch 129/300]	Epsilon:0.2860	#Expl.:267/1000	#Buy:693	#Sell:213	#Hold:94	#Stocks:  1.266559	PV:￦8,079	POS:5	NEG:11	Loss:  0.117318
[Epoch 130/300]	Epsilon:0.2843	#Expl.:300/1000	#Buy:704	#Sell:210	#Hold:86	#Stocks:  0.000002	PV:￦6,550	POS:4	NEG:12	Loss:  0.111441
[Epoch 131/300]	Epsilon:0.2826	#Expl.:262/1000	#Buy:573	#Sell:342	#Hold:85	#Stocks:  1.341343	PV:￦8,858	POS:6	NEG:10	Loss:  0.123587
[Epoch 132/300]	Epsilon:0.2809	#Expl.:296/1000	#Buy:681	#Sell:233	#Hold:86	#Stocks:  1.125518	PV:￦7,211	POS:6	NEG:10	Loss:  0.123007
