,acc,buy,drt,pre,pv,rec,sell
0,0.47863247863247865,5,0.1,0.8,100351.6389470404,0.0625,112
1,0.452991452991453,0,0.11,0.0,100000.0,0.0,117
2,0.39316239316239315,7,0.12,0.0,81364.86282490892,0.0,110
3,0.39316239316239315,87,0.13,0.4482758620689655,104947.12851898369,0.6290322580645161,30
4,0.4444444444444444,4,0.14,0.25,98153.10548415607,0.015873015873015872,113
5,0.5299145299145299,117,0.15,0.5299145299145299,103154.8625313676,1.0,0
6,0.358974358974359,33,0.16,0.3333333333333333,83892.08316374448,0.171875,84
7,0.452991452991453,0,0.17,0.0,100000.0,0.0,117
8,0.41025641025641024,7,0.18,0.14285714285714285,97677.35356835055,0.015625,110
9,0.452991452991453,0,0.19,0.0,100000.0,0.0,117
10,0.47863247863247865,5,0.2,0.8,101091.2573960467,0.0625,112
11,0.452991452991453,0,0.21,0.0,100000.0,0.0,117
12,0.452991452991453,0,0.22,0.0,100000.0,0.0,117
13,0.4700854700854701,2,0.23,1.0,100371.97127942122,0.03125,115
14,0.4700854700854701,36,0.24,0.5277777777777778,101894.29510932909,0.296875,81
15,0.46153846153846156,13,0.25,0.5384615384615384,100077.38893518952,0.109375,104
16,0.46153846153846156,1,0.26,1.0,99871.77146191454,0.015625,116
17,0.5299145299145299,101,0.27,0.5346534653465347,103451.61853961254,0.8709677419354839,16
18,0.5299145299145299,117,0.28,0.5299145299145299,103293.76361850236,1.0,0
19,0.5726495726495726,63,0.29,0.6031746031746031,105768.95502333892,0.6031746031746031,54
20,0.5042735042735043,106,0.3,0.5188679245283019,97657.17117659016,0.8870967741935484,11
21,0.452991452991453,0,0.31,0.0,100000.0,0.0,117
22,0.5299145299145299,117,0.32,0.5299145299145299,103293.79278236265,1.0,0
23,0.452991452991453,0,0.33,0.0,100000.0,0.0,117
24,0.452991452991453,0,0.34,0.0,100000.0,0.0,117
25,0.4358974358974359,4,0.35,0.25,98815.97326100647,0.015625,113
26,0.4444444444444444,1,0.36,0.0,99985.38194204123,0.0,116
27,0.4700854700854701,70,0.37,0.5142857142857142,101487.5325125169,0.5625,47
28,0.4700854700854701,2,0.38,1.0,101559.62752988048,0.03125,115
29,0.452991452991453,0,0.39,0.0,100000.0,0.0,117
30,0.452991452991453,0,0.4,0.0,100000.0,0.0,117
31,0.6923076923076923,65,0.41,0.7076923076923077,107108.62047040176,0.7301587301587301,52
32,0.39316239316239315,7,0.42,0.0,100132.58181244382,0.0,110
33,0.5213675213675214,105,0.43,0.5333333333333333,102106.02152106103,0.8888888888888888,12
34,0.5641025641025641,100,0.44,0.56,104057.79681888995,0.8888888888888888,17
35,0.5299145299145299,19,0.45,0.7368421052631579,104417.27111244049,0.21875,98
36,0.452991452991453,8,0.46,0.5,100044.30835505493,0.0625,109
37,0.4700854700854701,79,0.47,0.5063291139240507,98842.9632543969,0.6349206349206349,38
38,0.48717948717948717,8,0.48,0.75,100166.3520727651,0.09375,109
39,0.49572649572649574,101,0.49,0.5148514851485149,99310.09331617835,0.8387096774193549,16
40,0.5299145299145299,117,0.5,0.5299145299145299,103293.79278236265,1.0,0
41,0.6752136752136753,83,0.51,0.6506024096385542,107244.51373540271,0.8571428571428571,34
42,0.4188034188034188,15,0.52,0.3333333333333333,92563.35468671477,0.07936507936507936,102
43,0.5299145299145299,117,0.53,0.5299145299145299,103293.79278236265,1.0,0
44,0.5128205128205128,11,0.54,0.8181818181818182,101865.65964658628,0.140625,106
45,0.5128205128205128,115,0.55,0.5217391304347826,102024.21861986104,0.967741935483871,2
46,0.4700854700854701,59,0.56,0.5084745762711864,108787.2123071446,0.47619047619047616,58
47,0.5811965811965812,102,0.57,0.5686274509803921,112834.8380118497,0.9206349206349206,15
48,0.452991452991453,0,0.58,0.0,100000.0,0.0,117
49,0.5811965811965812,108,0.59,0.5648148148148148,136697.3673583458,0.9682539682539683,9
50,0.5299145299145299,116,0.6,0.5344827586206896,104376.56191783265,0.9841269841269841,1
51,0.452991452991453,0,0.61,0.0,100000.0,0.0,117
52,0.5299145299145299,117,0.62,0.5299145299145299,103293.79278236265,1.0,0
53,0.37606837606837606,66,0.63,0.42424242424242425,98063.19721878771,0.4444444444444444,51
54,0.5128205128205128,9,0.64,0.8888888888888888,102028.94027080419,0.125,108
55,0.37606837606837606,65,0.65,0.4153846153846154,97043.2311644603,0.43548387096774194,52
