o_t,open,high,low,close,volume
2018-06-30 10:00:00,6411.48,6416.84,6367.4,6378.58,1382.790031
2018-06-30 11:00:00,6378.59,6412.17,6377.46,6399.0,1405.974277
2018-06-30 12:00:00,6399.0,6466.75,6389.48,6392.02,1684.357152
2018-06-30 13:00:00,6393.0,6404.04,6386.0,6397.51,938.180556
2018-06-30 14:00:00,6397.5,6402.14,6323.93,6362.43,2499.312411
2018-06-30 15:00:00,6362.44,6391.77,6330.0,6382.27,1245.839401
2018-06-30 16:00:00,6382.0,6385.87,6320.0,6357.89,1766.4687
2018-06-30 17:00:00,6357.86,6364.76,6326.0,6339.97,1149.721739
2018-06-30 18:00:00,6336.81,6350.0,6301.01,6316.52,1136.00923
2018-06-30 19:00:00,6315.21,6333.73,6305.99,6325.91,820.469595
2018-06-30 20:00:00,6325.75,6376.29,6318.64,6360.09,1197.651637
2018-06-30 21:00:00,6358.64,6363.8,6328.11,6333.17,914.247332
2018-06-30 22:00:00,6333.18,6346.42,6330.0,6346.41,735.426868
2018-06-30 23:00:00,6346.36,6423.0,6328.72,6390.07,1415.489904
2018-07-01 00:00:00,6391.08,6441.06,6364.99,6372.1,1331.084043
2018-07-01 01:00:00,6372.39,6374.32,6315.0,6348.9,1172.023666
2018-07-01 02:00:00,6348.9,6363.0,6330.11,6343.1,773.000782
2018-07-01 03:00:00,6343.1,6372.5,6332.0,6344.57,928.177785
2018-07-01 04:00:00,6344.57,6369.19,6335.37,6361.49,1076.676177
2018-07-01 05:00:00,6364.97,6404.1,6353.01,6388.92,1116.134221
2018-07-01 06:00:00,6384.78,6410.0,6359.75,6361.12,933.344847
2018-07-01 07:00:00,6362.57,6390.0,6361.36,6376.98,1149.014483
2018-07-01 08:00:00,6376.97,6391.59,6363.53,6391.06,775.43806
2018-07-01 09:00:00,6391.07,6398.92,6330.0,6358.55,1134.560705
2018-07-01 10:00:00,6358.53,6385.33,6355.62,6380.92,877.292119
2018-07-01 11:00:00,6380.02,6385.0,6369.33,6385.0,745.588957
2018-07-01 12:00:00,6384.73,6389.37,6340.0,6350.48,1106.334885
2018-07-01 13:00:00,6353.05,6368.69,6331.0,6344.11,798.395141
2018-07-01 14:00:00,6345.06,6349.99,6265.0,6285.38,2017.067778
2018-07-01 15:00:00,6285.39,6324.0,6251.0,6316.58,1494.302029
2018-07-01 16:00:00,6316.14,6326.02,6299.96,6317.88,1277.982898
2018-07-01 17:00:00,6316.4,6347.14,6315.07,6332.43,1015.812232
2018-07-01 18:00:00,6332.44,6337.31,6319.08,6324.0,967.211436
2018-07-01 19:00:00,6324.0,6329.0,6302.0,6326.92,1213.121266
2018-07-01 20:00:00,6327.0,6417.0,6312.36,6354.68,1597.301495
2018-07-01 21:00:00,6354.68,6376.7,6333.0,6372.0,1009.091807
2018-07-01 22:00:00,6370.2,6429.99,6361.66,6374.64,1663.291293
2018-07-01 23:00:00,6374.64,6404.87,6350.0,6356.81,1390.717869
2018-07-02 00:00:00,6360.82,6369.0,6298.57,6341.53,1259.353776
2018-07-02 01:00:00,6340.38,6348.93,6310.5,6325.02,863.323945
2018-07-02 02:00:00,6326.32,6342.0,6322.95,6340.01,588.404617
2018-07-02 03:00:00,6339.21,6348.31,6331.35,6346.0,825.593882
2018-07-02 04:00:00,6344.81,6351.01,6280.11,6311.83,1343.868764
2018-07-02 05:00:00,6311.81,6312.31,6290.11,6293.1,845.121497
2018-07-02 06:00:00,6293.12,6324.85,6271.62,6311.01,1395.677186
2018-07-02 07:00:00,6311.01,6361.75,6307.0,6345.41,1181.792343
2018-07-02 08:00:00,6345.41,6381.33,6335.0,6346.39,1243.796254
2018-07-02 09:00:00,6346.41,6346.41,6315.27,6327.5,835.422642
2018-07-02 10:00:00,6326.2,6356.87,6322.2,6336.19,1271.016951
2018-07-02 11:00:00,6338.59,6361.5,6336.0,6343.99,947.847986
2018-07-02 12:00:00,6344.0,6353.97,6325.88,6350.0,961.742685
2018-07-02 13:00:00,6350.0,6679.71,6349.23,6597.21,6795.037218
2018-07-02 14:00:00,6597.32,6660.0,6586.75,6612.98,2783.451007
2018-07-02 15:00:00,6612.98,6649.97,6608.99,6630.08,2156.900165
2018-07-02 16:00:00,6630.09,6640.0,6586.75,6613.8,2114.106707
2018-07-02 17:00:00,6613.8,6632.9,6610.06,6618.0,1445.047571
2018-07-02 18:00:00,6617.8,6647.77,6614.64,6641.79,1455.50746
2018-07-02 19:00:00,6642.99,6685.0,6617.64,6629.0,1778.475942
2018-07-02 20:00:00,6629.0,6638.97,6620.15,6629.79,980.896925
2018-07-02 21:00:00,6627.12,6665.0,6627.0,6651.02,1136.981057
2018-07-02 22:00:00,6651.02,6653.98,6600.0,6629.86,1161.326142
2018-07-02 23:00:00,6625.46,6629.92,6599.05,6615.29,859.759542
2018-07-03 00:00:00,6615.29,6624.77,6596.31,6610.07,1182.096493
2018-07-03 01:00:00,6610.07,6625.0,6607.0,6618.93,1155.026276
2018-07-03 02:00:00,6616.48,6647.86,6616.48,6638.02,1243.999571
2018-07-03 03:00:00,6638.02,6670.0,6630.02,6645.0,1234.178464
2018-07-03 04:00:00,6642.79,6679.35,6636.6,6643.62,1469.049158
2018-07-03 05:00:00,6642.47,6653.68,6620.78,6627.0,999.725311
2018-07-03 06:00:00,6627.0,6638.0,6609.84,6637.99,1180.354973
2018-07-03 07:00:00,6638.0,6649.99,6635.02,6645.99,1187.682589
2018-07-03 08:00:00,6644.21,6647.71,6610.81,6635.0,1381.150652
2018-07-03 09:00:00,6635.0,6644.27,6606.13,6614.0,1233.179081
2018-07-03 10:00:00,6615.5,6617.02,6519.99,6563.36,4693.665666
2018-07-03 11:00:00,6560.89,6594.9,6542.32,6576.51,1253.160834
2018-07-03 12:00:00,6576.51,6586.0,6561.0,6585.0,1621.076109
2018-07-03 13:00:00,6585.0,6590.0,6545.02,6567.98,1283.762331
2018-07-03 14:00:00,6565.04,6584.0,6547.1,6576.0,1153.606178
2018-07-03 15:00:00,6575.99,6599.0,6565.0,6585.02,1323.854639
2018-07-03 16:00:00,6585.02,6597.92,6575.01,6586.97,1209.785584
2018-07-03 17:00:00,6587.48,6592.77,6564.0,6585.88,1087.437614
2018-07-03 18:00:00,6583.35,6586.02,6558.62,6569.92,1380.860409
2018-07-03 19:00:00,6569.93,6655.0,6529.0,6601.54,2072.209475
2018-07-03 20:00:00,6601.54,6629.39,6583.02,6612.96,1409.633299
2018-07-03 21:00:00,6612.96,6622.0,6586.03,6617.95,1186.727647
2018-07-03 22:00:00,6615.07,6624.07,6463.01,6482.31,4572.676953
2018-07-03 23:00:00,6482.31,6537.36,6463.01,6513.86,2142.882385
2018-07-04 00:00:00,6511.01,6524.6,6441.11,6481.69,1543.484402
2018-07-04 08:00:00,6481.72,6600.0,6455.2,6524.01,2074.806128
2018-07-04 09:00:00,6524.01,6541.61,6490.9,6534.91,742.817696
2018-07-04 10:00:00,6534.91,6542.25,6508.16,6518.0,522.392357
2018-07-04 11:00:00,6518.0,6539.5,6501.0,6536.93,643.707058
2018-07-04 12:00:00,6536.93,6573.99,6532.65,6556.12,1295.191708
2018-07-04 13:00:00,6556.93,6784.92,6555.0,6713.0,3881.03143
2018-07-04 14:00:00,6713.5,6722.16,6682.0,6703.99,1374.158494
2018-07-04 15:00:00,6703.99,6708.99,6651.05,6683.76,1835.172584
2018-07-04 16:00:00,6683.77,6691.01,6632.0,6665.79,1681.385172
2018-07-04 17:00:00,6665.79,6688.43,6659.0,6673.01,1228.531937
2018-07-04 18:00:00,6673.01,6706.99,6661.09,6669.65,1225.402678
2018-07-04 19:00:00,6674.0,6685.94,6663.26,6683.07,580.476824
2018-07-04 20:00:00,6683.08,6696.0,6676.99,6690.99,1083.265477
2018-07-04 21:00:00,6691.05,6697.96,6665.1,6690.99,826.737292
2018-07-04 22:00:00,6690.99,6694.67,6555.0,6590.06,1823.145548
2018-07-04 23:00:00,6590.06,6600.0,6555.0,6586.98,1210.185992
2018-07-05 00:00:00,6585.53,6595.0,6510.0,6560.14,1567.071256
2018-07-05 01:00:00,6560.34,6712.0,6551.02,6635.98,1938.772892
2018-07-05 02:00:00,6632.12,6655.65,6585.0,6600.99,1040.667766
2018-07-05 03:00:00,6600.99,6632.35,6560.0,6626.88,1251.748862
2018-07-05 04:00:00,6625.92,6635.1,6611.58,6622.0,1027.649206
2018-07-05 05:00:00,6621.82,6667.1,6560.0,6604.66,1395.015205
2018-07-05 06:00:00,6604.66,6614.32,6580.01,6595.13,750.67816
2018-07-05 07:00:00,6595.14,6630.0,6595.13,6615.0,1179.05122
2018-07-05 08:00:00,6614.99,6633.29,6603.08,6627.01,1205.942232
2018-07-05 09:00:00,6627.01,6657.2,6551.0,6639.98,1978.656844
2018-07-05 10:00:00,6639.97,6660.0,6595.83,6638.0,1194.744949
2018-07-05 11:00:00,6637.99,6689.0,6609.89,6614.65,1263.282237
2018-07-05 12:00:00,6613.52,6664.99,6583.56,6641.06,1524.484629
2018-07-05 13:00:00,6647.03,6673.79,6583.56,6605.99,2089.067847
2018-07-05 14:00:00,6605.99,6611.66,6566.02,6579.87,1568.161683
2018-07-05 15:00:00,6578.66,6618.94,6530.28,6611.36,2152.860333
2018-07-05 16:00:00,6614.79,6639.97,6586.12,6591.01,1460.348518
2018-07-05 17:00:00,6592.68,6604.8,6540.0,6561.7,1578.853872
2018-07-05 18:00:00,6564.98,6585.0,6453.33,6486.51,2580.526948
2018-07-05 19:00:00,6488.24,6522.0,6457.53,6510.32,1596.928709
2018-07-05 20:00:00,6509.86,6522.0,6482.48,6507.98,1251.804586
2018-07-05 21:00:00,6507.97,6521.0,6476.99,6498.37,1017.793741
2018-07-05 22:00:00,6496.99,6542.92,6483.26,6537.8,1393.084601
2018-07-05 23:00:00,6537.8,6563.76,6518.47,6529.2,1064.776602
2018-07-06 00:00:00,6529.2,6550.86,6520.1,6531.75,1010.325455
2018-07-06 01:00:00,6531.0,6531.0,6511.0,6512.93,966.893742
2018-07-06 02:00:00,6514.95,6553.0,6511.68,6540.57,963.647657
